수종	지역	계절	대체수종1	대체수종2	대체수종3
후피향나무	부산	겨울	은목서	동백나무	먼나무
후피향나무	광주	겨울	은목서	동백나무	먼나무
후박나무	울산	겨울	은목서	동백나무	먼나무
후박나무	부산	가을	은목서	동백나무	가시나무
후박나무	광주	여름	은목서	금목서	동백나무
후박나무	부산	겨울	은목서	동백나무	먼나무
후박나무	광주	겨울	은목서	동백나무	먼나무
회화나무	인천	여름	팽나무	느티나무	대왕참나무
회화나무	경기	봄	팽나무	계수나무	대왕참나무
회화나무	서울	가을	계수나무	느티나무	대왕참나무
회화나무	대구	봄	팽나무	계수나무	대왕참나무
회화나무	인천	가을	계수나무	느티나무	대왕참나무
회화나무	경기	여름	팽나무	느티나무	대왕참나무
회화나무	경북	여름	팽나무	느티나무	대왕참나무
회화나무	경기	가을	계수나무	느티나무	대왕참나무
회화나무	경기	겨울	팽나무	느티나무	대왕참나무
회화나무	강원	가을	계수나무	느티나무	대왕참나무
회화나무	세종	봄	팽나무	계수나무	대왕참나무
회화나무	강원	봄	팽나무	계수나무	대왕참나무
화살나무	서울	봄	수수꽃다리	참빗살나무	매화나무
화살나무	전남	겨울	배롱나무	왕벚나무	청단풍
화살나무	경기	봄	수수꽃다리	참빗살나무	매화나무
화살나무	경기	가을	개회나무	자엽안개나무	삼색버들
화살나무	경기	겨울	참빗살나무	개회나무	자엽안개나무
화살나무	인천	겨울	참빗살나무	자엽안개나무	개회나무
화살나무	전남	가을	계수나무	느티나무	대왕참나무
홍매자나무	경기	여름	수수꽃다리	배롱나무	산수유
홍단풍	충북	봄	복자기	청단풍	공작단풍
홍가시나무	울산	겨울	돈나무	호랑가시나무	은목서
홍가시나무	전남	겨울	꽝꽝나무	은목서	좀굴거리나무
홍가시나무	전남	봄	은목서	가시나무	애기동백나무
홍가시나무	광주	여름	은목서	금목서	동백나무
홍가시나무	경남	겨울	돈나무	호랑가시나무	은목서
홍가시나무	세종	봄	호랑가시나무	은목서	사철나무
홍가시나무	부산	가을	호랑가시나무	돈나무	은목서
홍가시나무	부산	겨울	돈나무	호랑가시나무	은목서
홍가시나무	전남	가을	호랑가시나무	은목서	동백나무
홍가시나무	전북	가을	호랑가시나무	은목서	동백나무
홍가시나무	광주	겨울	꽝꽝나무	은목서	동백나무
홍가시나무	서울	가을	은목서	금목서	호랑가시나무
호랑가시나무	부산	가을	홍가시나무	돈나무	은목서
호랑가시나무	경남	겨울	홍가시나무	돈나무	은목서
호랑가시나무	세종	봄	홍가시나무	은목서	사철나무
호랑가시나무	전북	가을	홍가시나무	은목서	동백나무
헛개나무	경기	봄	팽나무	계수나무	대왕참나무
향나무	인천	봄	블루엔젤	측백나무	실화백
함박꽃나무	서울	겨울	배롱나무	왕벚나무	산딸나무
피나무	서울	겨울	팽나무	느티나무	대왕참나무
편백	전남	겨울	서양측백	에메랄드그린	소나무
편백	전남	봄	소나무	스트로브잣나무	소나무(둥근형)
편백	부산	가을	서양측백	에메랄드그린	스카이로켓향나무
편백	서울	가을	서양측백	에메랄드그린	블루엔젤
편백	부산	겨울	서양측백	블루엔젤	스카이로켓향나무
팽나무(제주)	대구	가을	계수나무	느티나무	대왕참나무
팽나무	서울	봄	계수나무	대왕참나무	느티나무
